NAME,ADM0NAME,POP_MAX,lon,lat
Moscow,Russia,10452000,37.613577,55.75411
Istanbul,Turkey,10061000,28.97427681675554,41.01760173507249
Paris,France,9904000,2.3529924615392135,48.85809231626911
London,United Kingdom,8567000,-0.1186677,51.5019406
Madrid,Spain,5567000,-3.6852975,40.4019721
Barcelona,Spain,4920000,2.1814245,41.3852454
St.  Petersburg,Russia,4553000,30.3140742,59.9409604
Ankara,Turkey,3716000,32.8624458,39.9291844
Berlin,Germany,3406000,13.3996028,52.5237645
Algiers,Algeria,3354000,3.0486067,36.7650107
Rome,Italy,3339000,12.4813126,41.8979015
Athens,Greece,3242000,23.7313752,37.9852721
Milan,Italy,2945000,9.2030631,45.4719211
Stuttgart,Germany,2944700,9.1999963,48.7799799
Frankfurt,Germany,2895000,8.6750154,50.0999768
Lisbon,Portugal,2812000,-9.1468122,38.7246687
Katowice,Poland,2746000,19.020017,50.2603805
Aleppo,Syria,2738000,37.1680744,36.2319166
Kyiv,Ukraine,2709000,30.5146821,50.4353132
İzmir,Turkey,2587000,27.1498482,38.4380955
Tunis,Tunisia,2412500,10.1796781,36.8027781
Vienna,Austria,2400000,16.3646931,48.2019611
Mannheim,Germany,2362000,8.470015,49.5003752
Birmingham,United Kingdom,2285000,-1.9219426,52.4769198
Naples,Italy,2250000,14.2430655,40.8419711
Manchester,United Kingdom,2230000,-2.2486846671598855,53.47531992472453
Bucharest,Romania,1942000,26.0980008,44.4353177
Minsk,Belarus,1805000,27.5646813,53.9019233
Hamburg,Germany,1757000,9.9980533,53.5519705
Brussels,Belgium,1743000,4.3313707,50.8352629
Essen,Germany,1742135,7.0166154,51.4499978
Warsaw,Poland,1707000,21.005346737742283,52.23087197353951
Rabat,Morocco,1705000,-6.8364082,34.0253073
Budapest,Hungary,1679000,19.0813748,47.5019522
Turin,Italy,1652000,7.6680146,45.072333
Leeds,United Kingdom,1529000,-1.5513477114128407,53.790016637752316
Florence,Italy,1500000,11.2500004,43.7800008
Bursa,Turkey,1492000,29.0680521,40.2019327
Kharkiv,Ukraine,1461000,36.2480789,50.0019288
Lyon,France,1423000,4.8280846,45.7719544
The Hague,Netherlands,1406000,4.2699613,52.0800368
Marseille,France,1400000,5.3730643,43.2919249
Porto,Portugal,1337000,-8.6219471,41.1519522
